OID,PlaceName,Prop_Tax,Tax_Rev
859,San Leandro,13361005,101253490
860,San Luis Obispo,12163395,60882786
861,San Marcos,6452021,47392396
862,San Marino,15684345,21661711
863,San Mateo,37467929,122865912
864,San Pablo,1808579,42963767
865,San Rafael,15457761,74607160
866,San Ramon,14698884,44390604
867,Sand City,90663,6445583
868,Sanger,1698172,10716665
869,Santa Ana,37309791,214882201
870,Santa Barbara,22124859,132804301
871,Santa Clara,36595901,155833485
872,Santa Clarita,25547736,119019388
873,Santa Cruz,13867260,82655404
874,Santa Fe Springs,2510862,50393523
875,Santa Maria,10739359,63612422
876,Santa Monica,32814830,294690084
877,Santa Paula,701743,10953246
878,Santa Rosa,28253588,147506785
879,Santee,10538309,37827386
880,Saratoga,9082894,19845218
881,Sausalito,4749945,14095983
882,Scotts Valley,958736,11944099
883,Seal Beach,8343572,25094751
884,Seaside,1834843,31999121
885,Sebastopol,1486809,8682973
886,Selma,1415323,15102169
887,Shafter,1519332,23681829
888,Shasta Lake,791920,4407589
889,Sierra Madre,4458730,10256303
890,Signal Hill,647692,21484062
891,Simi Valley,19455442,67894626
892,Solana Beach,7932800,16661890
893,Soledad,394822,10182264
894,Solvang,806574,8256819
895,Sonoma,3996528,15064073
896,Sonora,600218,6786497
897,South El Monte,967232,13951589
898,South Gate,2857869,42785430
899,South Lake Tahoe,8024816,44804113
900,South Pasadena,11899322,24396503
901,South San Francisco,19005437,112442864
902,St. Helena,4282876,19848603
903,Stanton,1411000,19522484
904,Stockton,34027804,246780107
905,Suisun City,861716,11854670
906,Sunnyvale,57187103,164971187
907,Susanville,968300,5226699
908,Sutter Creek,529148,1558652
909,Taft,681045,3825218
910,Tehachapi,917878,8105259
911,Tehama,20371,71740
912,Temecula,7709207,104324119
913,Temple City,4642722,14896696
914,Thousand Oaks,14676009,78416495
915,Tiburon,4991303,9598749
916,Torrance,35592627,175227194
917,Tracy,14347751,77936847
918,Trinidad,100128,617658
919,Truckee,11406585,30541441
920,Tulare,5182170,39925870
921,Tulelake,72048,326481
922,Turlock,5177104,40966263
923,Tustin,10026772,53418826
924,Twentynine Palms,1977254,10015456
925,Ukiah,735219,18556471
926,Union City,13051150,53524788
927,Upland,6249324,36233424
928,Vacaville,13972371,99276178
929,Vallejo,19022986,91899406
930,Vernon,2598046,44828308
931,Victorville,9105135,60552022
